id,api_football_id,name,firstname,lastname,age,nationality,height,weight,photo
35149,119953,N. Buddle,,,,,,,
35150,232647,A. Iro,,,,,,,
35151,232175,B. Hamilton,,,,,,,
35152,82075,S. Phillips,,,,,,,
35153,17940,K. Pilkington,,,,,,,
35154,114890,T. Hewitt,,,,,,,
35156,231330,I. Goodison,,,,,,,
35157,230994,A. Griffin,,,,,,,
35159,232635,A. Oakley,,,,,,,
35162,232648,L. Hills,,,,,,,
35163,117253,S. Clingan,,,,,,,
35164,232986,J. Bennett,,,,,,,
35165,29194,A. German,,,,,,,
35166,45302,J. Todd,,,,,,,
35167,45208,S. McGinty,,,,,,,
35168,232616,J. Cooper,,,,,,,
36610,19966,D. Lyon,,,,,,,
41805,167092,M. Saunders,,,,,,,
68902,80284,Pedro Botelho,,,,,,,https://media.api-sports.io/football/players/80284.png
215093,624942,R. S. Tirso Santos,,,,,,,
56204,91569,A. Tinti,,,,,,,
76158,117580,C. Sutherland,,,,,,,
19150,20063,M. Clayton,,,,,,,https://media.api-sports.io/football/players/20063.png
46976,485659,Frankie Phillips,,,,,,,https://media.api-sports.io/football/players/485659.png
1222,88452,D. Seaborne,,,,,,,
215094,554003,R. Alexandre,,,,,,,
178839,94511,R. Turner,,,,,,,
1238,114786,J. Heitinga,,,,,,,https://media.api-sports.io/football/players/114786.png
48456,107141,Tarsi,,,,,,,
1257,113639,D. Berbatov,,,,,,,https://media.api-sports.io/football/players/113639.png
1231,114801,P. Neville,,,,,,,
97341,16180,M. Fisch,,,,,,,
178840,163669,A. Milne,,,,,,,
48453,116976,Eder Vilarchao,,,,,,,
46785,441193,P. Casey,,,,,,,
48475,47377,A. Arbilla,,,,,,,https://media.api-sports.io/football/players/47377.png
76159,117583,I. Campbell,,,,,,,
36421,17758,J. Benteke,,,,,,,https://media.api-sports.io/football/players/17758.png
74895,117382,A. Pursehouse,,,,,,,
35179,82235,B. Adams,,,,,,,https://media.api-sports.io/football/players/82235.png
74896,117421,S. Higgins,,,,,,,
76160,117608,D. Jurisic,,,,,,,
60425,207560,M. Rousseau,,,,,,,
154102,638162,M. F. Ghoul,,,,,,,
45253,162310,Connor Dixon,,,,,,,https://media.api-sports.io/football/players/162310.png
36613,19781,H. Kendrick,,,,,,,https://media.api-sports.io/football/players/19781.png
46702,389547,Jack Shorrock,,,,,,,https://media.api-sports.io/football/players/389547.png
48454,116977,Eneko Eizmendi,,,,,,,
35196,87765,Kyle Wootton,,,,,,,https://media.api-sports.io/football/players/87765.png
1248,114802,P. Scholes,,,,,,,
56205,31502,L. Forte,,,,,,,
48455,114681,Paulo Assunção,,,,,,,
44662,557488,J. Jones,,,,,,,https://media.api-sports.io/football/players/557488.png
48457,116978,José Ruiz,,,,,,,https://media.api-sports.io/football/players/116978.png
68903,116490,Pedro Marques,,,,,,,https://media.api-sports.io/football/players/116490.png
74897,117238,G. Rodger,,,,,,,
93026,106341,E. Miranda,,,,,,,
45679,385482,Luke Daley,,,,,,,https://media.api-sports.io/football/players/385482.png
35203,118430,T. Olufemi,,,,,,,https://media.api-sports.io/football/players/118430.png
35171,87848,S. Mildenhall,,,,,,,https://media.api-sports.io/football/players/87848.png
60426,113824,J. Janot,,,,,,,
1249,50940,Nani,,,,,,,https://media.api-sports.io/football/players/50940.png
50622,376416,Hamza Bellari,,,,,,,https://media.api-sports.io/football/players/376416.png
50970,192037,Pipo,,,,,,,
51817,295903,Damián,,,,,,,https://media.api-sports.io/football/players/295903.png
56207,91570,T. Costantini,,,,,,,
56747,30667,P. Pasha,,,,,,,
60427,117098,O. Thomert,,,,,,,
1266,114774,R. Giggs,,,,,,,
60428,207500,P. Sinapi,,,,,,,
62453,55488,P. Rakovsky,,,,,,,
