id,fixture_id,home_win,draw,away_win,bookmaker,source
16486,16515,1.53,3.8,6.5,Bet365,CSV
16487,16516,2.25,3.1,3.4,Bet365,CSV
16488,16517,2.62,3.2,2.75,Bet365,CSV
16489,16518,1.95,3.25,4.2,Bet365,CSV
16490,16519,2.25,3.2,3.25,Bet365,CSV
16491,16520,1.65,3.75,5.5,Bet365,CSV
16492,16521,2.75,3.1,2.7,Bet365,CSV
16493,16522,1.85,3.5,4.2,Bet365,CSV
16494,16523,1.57,3.75,6.0,Bet365,CSV
16495,16524,2.7,3.2,2.7,Bet365,CSV
16496,16525,2.7,3.3,2.6,Bet365,CSV
16497,16526,3.1,3.2,2.37,Bet365,CSV
16498,16527,3.0,3.1,2.37,Bet365,CSV
16499,16528,1.83,3.25,4.75,Bet365,CSV
16500,16529,2.05,3.3,3.75,Bet365,CSV
16501,16530,3.1,3.1,2.3,Bet365,CSV
16502,16531,2.0,3.4,3.6,Bet365,CSV
16503,16532,2.05,3.0,3.8,Bet365,CSV
16504,16533,2.45,3.1,2.9,Bet365,CSV
16505,16534,2.62,3.2,2.62,Bet365,CSV
16506,16535,2.1,3.1,3.5,Bet365,CSV
16507,16536,1.36,4.5,7.0,Bet365,CSV
16508,16537,1.83,3.4,4.0,Bet365,CSV
16509,16538,2.1,3.25,3.2,Bet365,CSV
16510,16539,1.85,3.3,3.8,Bet365,CSV
16511,16540,1.85,3.3,3.8,Bet365,CSV
16512,16541,1.65,3.5,5.25,Bet365,CSV
16513,16542,2.75,3.2,2.37,Bet365,CSV
16514,16543,1.9,3.25,3.8,Bet365,CSV
16515,16544,3.8,3.25,1.9,Bet365,CSV
16516,16545,2.3,3.1,2.9,Bet365,CSV
16517,16546,2.3,3.2,2.87,Bet365,CSV
16518,16547,2.37,3.2,2.9,Bet365,CSV
16519,16548,2.3,3.25,3.0,Bet365,CSV
16520,16549,2.25,3.1,3.25,Bet365,CSV
16521,16550,2.05,3.3,3.4,Bet365,CSV
16522,16551,2.1,3.25,3.5,Bet365,CSV
16523,16552,2.5,2.87,3.0,Bet365,CSV
16524,16553,2.87,3.1,2.45,Bet365,CSV
16525,16554,1.57,3.6,6.0,Bet365,CSV
16526,16555,3.4,3.0,2.2,Bet365,CSV
16527,16556,1.95,3.25,4.0,Bet365,CSV
16528,16557,2.37,3.2,2.8,Bet365,CSV
16529,16558,1.85,3.5,3.8,Bet365,CSV
16530,16559,2.37,3.0,3.0,Bet365,CSV
16531,16560,3.1,3.1,2.1,Bet365,CSV
16532,16561,1.5,3.8,5.75,Bet365,CSV
16533,16562,2.25,3.1,3.1,Bet365,CSV
16534,16563,1.95,3.25,3.6,Bet365,CSV
16535,16564,2.5,3.0,2.75,Bet365,CSV
16536,16565,2.05,3.2,3.4,Bet365,CSV
16537,16566,2.1,3.1,3.3,Bet365,CSV
16538,16567,1.83,3.5,4.33,Bet365,CSV
16539,16568,3.6,3.25,2.1,Bet365,CSV
16540,16569,2.2,3.1,3.5,Bet365,CSV
16541,16570,3.2,3.2,2.25,Bet365,CSV
16542,16571,2.38,3.1,3.1,Bet365,CSV
16543,16572,2.55,3.1,2.88,Bet365,CSV
16544,16573,1.67,3.6,5.25,Bet365,CSV
16545,16574,1.91,3.25,4.2,Bet365,CSV
16546,16575,1.91,3.3,4.33,Bet365,CSV
16547,16576,2.8,3.2,2.5,Bet365,CSV
16548,16577,2.38,3.1,3.1,Bet365,CSV
16549,16578,2.15,3.0,3.6,Bet365,CSV
16550,16579,2.75,2.9,2.75,Bet365,CSV
16551,16580,2.45,3.0,3.0,Bet365,CSV
16552,16581,2.0,3.3,3.6,Bet365,CSV
16553,16582,1.67,3.6,5.0,Bet365,CSV
16554,16583,2.0,3.0,4.2,Bet365,CSV
16555,16584,2.6,3.1,2.6,Bet365,CSV
16556,16585,1.95,3.0,4.2,Bet365,CSV
16557,16586,2.38,3.0,3.0,Bet365,CSV
16558,16587,2.2,3.1,3.5,Bet365,CSV
16559,16588,2.8,2.9,2.63,Bet365,CSV
16560,16589,2.0,3.1,4.0,Bet365,CSV
16561,16590,1.5,4.0,7.0,Bet365,CSV
16562,16591,2.25,3.1,3.4,Bet365,CSV
16563,16592,2.63,3.1,2.7,Bet365,CSV
16564,16593,2.25,3.1,3.4,Bet365,CSV
16565,16594,2.88,3.2,2.45,Bet365,CSV
16566,16595,1.75,3.5,5.0,Bet365,CSV
16567,16596,3.1,3.1,2.4,Bet365,CSV
16568,16597,2.45,3.25,2.88,Bet365,CSV
16569,16598,1.75,3.6,4.75,Bet365,CSV
16570,16599,2.25,3.25,3.2,Bet365,CSV
16571,16600,1.91,3.4,4.0,Bet365,CSV
16572,16601,1.62,3.6,5.75,Bet365,CSV
16573,16602,1.65,3.75,5.25,Bet365,CSV
16574,16603,2.5,3.0,3.0,Bet365,CSV
16575,16604,3.3,3.25,2.2,Bet365,CSV
16576,16605,2.2,3.25,3.3,Bet365,CSV
16577,16606,1.7,3.6,5.0,Bet365,CSV
16578,16607,2.9,2.9,2.55,Bet365,CSV
16579,16608,3.3,3.1,2.2,Bet365,CSV
16580,16609,2.45,3.2,2.8,Bet365,CSV
16581,16610,1.67,3.8,4.75,Bet365,CSV
16582,16611,1.8,3.4,4.75,Bet365,CSV
16583,16612,1.75,3.5,4.5,Bet365,CSV
16584,16613,2.63,3.0,2.75,Bet365,CSV
16585,16614,1.95,3.3,3.8,Bet365,CSV
16586,16615,2.7,3.0,2.63,Bet365,CSV
16587,16616,3.3,3.0,2.25,Bet365,CSV
16588,16617,1.67,3.5,4.75,Bet365,CSV
16589,16618,2.0,3.2,3.5,Bet365,CSV
16590,16619,2.2,3.2,3.1,Bet365,CSV
16591,16620,3.8,3.3,1.91,Bet365,CSV
16592,16621,3.1,3.0,2.3,Bet365,CSV
16593,16622,2.15,3.3,3.1,Bet365,CSV
16594,16623,2.2,3.0,3.3,Bet365,CSV
16595,16624,1.73,3.4,4.5,Bet365,CSV
16596,16625,2.25,3.1,3.0,Bet365,CSV
16597,16626,1.75,3.5,4.33,Bet365,CSV
16598,16627,2.7,3.1,2.8,Bet365,CSV
16599,16628,2.38,3.2,3.2,Bet365,CSV
16600,16629,2.45,3.1,3.0,Bet365,CSV
16601,16630,2.9,3.3,2.4,Bet365,CSV
16602,16631,1.95,3.4,4.0,Bet365,CSV
16603,16632,1.91,3.4,4.2,Bet365,CSV
16604,16633,3.2,3.2,2.38,Bet365,CSV
16605,16634,3.1,3.3,2.38,Bet365,CSV
16606,16635,3.0,3.2,2.45,Bet365,CSV
16607,16636,2.7,3.2,2.7,Bet365,CSV
16608,16637,1.67,3.6,5.5,Bet365,CSV
16609,16638,2.45,3.25,3.0,Bet365,CSV
16610,16639,2.0,3.4,3.9,Bet365,CSV
16611,16640,1.7,3.6,5.5,Bet365,CSV
16612,16641,2.15,3.25,3.6,Bet365,CSV
16613,16642,2.63,3.1,2.9,Bet365,CSV
16614,16643,1.85,3.7,4.1,Bet365,CSV
16615,16644,2.6,3.1,2.9,Bet365,CSV
16616,16645,2.88,3.5,2.38,Bet365,CSV
16617,16646,1.62,3.8,5.75,Bet365,CSV
16618,16647,2.38,2.9,3.3,Bet365,CSV
16619,16648,2.05,3.3,3.8,Bet365,CSV
16620,16649,2.8,3.0,2.8,Bet365,CSV
16621,16650,2.8,3.0,2.75,Bet365,CSV
16622,16651,3.1,3.25,2.38,Bet365,CSV
16623,16652,1.8,3.5,4.75,Bet365,CSV
16624,16653,2.8,3.25,2.6,Bet365,CSV
16625,16654,2.2,3.25,3.4,Bet365,CSV
16626,16655,1.95,3.4,4.0,Bet365,CSV
16627,16656,3.4,3.3,2.2,Bet365,CSV
16628,16657,2.05,3.1,4.0,Bet365,CSV
16629,16658,2.3,3.2,3.25,Bet365,CSV
16630,16659,3.1,3.1,2.4,Bet365,CSV
16631,16660,1.75,3.5,5.0,Bet365,CSV
16632,16661,2.2,3.1,3.6,Bet365,CSV
16633,16662,2.3,3.2,3.4,Bet365,CSV
16634,16663,2.2,3.3,3.5,Bet365,CSV
16635,16664,2.38,3.25,3.0,Bet365,CSV
16636,16665,1.57,3.75,7.0,Bet365,CSV
16637,16666,2.4,3.25,3.1,Bet365,CSV
16638,16667,4.5,3.25,1.91,Bet365,CSV
16639,16668,2.05,3.5,3.5,Bet365,CSV
16640,16669,2.05,3.3,3.75,Bet365,CSV
16641,16670,2.1,3.4,3.5,Bet365,CSV
16642,16671,2.1,3.1,3.75,Bet365,CSV
16643,16672,2.88,3.25,2.5,Bet365,CSV
16644,16673,2.1,3.25,3.8,Bet365,CSV
16645,16674,2.0,3.4,3.8,Bet365,CSV
16646,16675,2.25,3.25,3.3,Bet365,CSV
16647,16676,4.2,3.5,1.91,Bet365,CSV
16648,16677,2.0,3.3,3.9,Bet365,CSV
16649,16678,2.5,3.1,2.9,Bet365,CSV
16650,16679,2.63,3.3,2.75,Bet365,CSV
16651,16680,2.9,3.1,2.55,Bet365,CSV
16652,16681,2.15,3.2,3.75,Bet365,CSV
16653,16682,1.75,3.5,4.75,Bet365,CSV
16654,16683,2.55,3.1,2.8,Bet365,CSV
16655,16684,2.8,3.0,2.8,Bet365,CSV
16656,16685,2.55,3.2,2.75,Bet365,CSV
16657,16686,1.36,4.5,9.0,Bet365,CSV
16658,16687,2.05,3.2,4.0,Bet365,CSV
16659,16688,2.5,3.3,2.9,Bet365,CSV
16660,16689,2.4,3.1,3.2,Bet365,CSV
16661,16690,2.5,3.3,2.88,Bet365,CSV
16662,16691,1.83,3.3,5.0,Bet365,CSV
16663,16692,1.95,3.3,4.2,Bet365,CSV
16664,16693,3.0,3.25,2.45,Bet365,CSV
16665,16694,2.7,3.2,2.7,Bet365,CSV
16666,16695,1.53,4.0,7.0,Bet365,CSV
16667,16696,2.4,3.25,3.1,Bet365,CSV
16668,16697,2.4,3.0,3.3,Bet365,CSV
16669,16698,4.33,3.25,1.95,Bet365,CSV
16670,16699,2.6,3.0,3.0,Bet365,CSV
16671,16700,2.7,3.1,2.8,Bet365,CSV
16672,16701,1.33,5.0,10.0,Bet365,CSV
16673,16702,1.95,3.3,4.2,Bet365,CSV
16674,16703,2.15,3.1,3.75,Bet365,CSV
16675,16704,2.3,3.25,3.2,Bet365,CSV
16676,16705,2.7,3.3,2.63,Bet365,CSV
16677,16706,1.67,3.6,5.5,Bet365,CSV
16678,16707,2.15,3.1,3.6,Bet365,CSV
16679,16708,1.83,3.4,4.75,Bet365,CSV
16680,16709,3.6,3.3,2.1,Bet365,CSV
16681,16710,1.83,3.5,4.5,Bet365,CSV
16682,16711,2.55,3.3,2.7,Bet365,CSV
16683,16712,2.45,3.25,2.88,Bet365,CSV
16684,16713,1.95,3.3,4.0,Bet365,CSV
16685,16714,3.2,3.1,2.38,Bet365,CSV
16686,16715,2.2,3.2,3.3,Bet365,CSV
16687,16716,2.15,3.2,3.6,Bet365,CSV
16688,16717,2.05,3.2,3.8,Bet365,CSV
16689,16718,2.6,3.3,2.7,Bet365,CSV
16690,16719,3.0,3.1,2.4,Bet365,CSV
16691,16720,3.4,3.2,2.2,Bet365,CSV
16692,16721,1.65,3.75,5.25,Bet365,CSV
16693,16722,2.15,3.3,3.5,Bet365,CSV
16694,16723,2.38,3.2,3.1,Bet365,CSV
16695,16724,2.75,3.0,2.8,Bet365,CSV
16696,16725,2.4,3.1,3.1,Bet365,CSV
16697,16726,1.73,3.6,4.75,Bet365,CSV
16698,16727,3.0,3.0,2.45,Bet365,CSV
16699,16728,2.25,3.1,3.5,Bet365,CSV
16700,16729,2.15,3.0,3.75,Bet365,CSV
16701,16730,2.6,3.1,2.9,Bet365,CSV
16702,16731,2.9,2.88,2.75,Bet365,CSV
16703,16732,1.53,3.6,8.0,Bet365,CSV
16704,16733,2.45,3.1,3.1,Bet365,CSV
16705,16734,2.15,3.2,3.6,Bet365,CSV
16706,16735,2.5,3.2,3.0,Bet365,CSV
16707,16736,2.5,3.3,2.88,Bet365,CSV
16708,16737,1.95,3.2,4.2,Bet365,CSV
16709,16738,4.33,3.1,2.0,Bet365,CSV
16710,16739,2.15,3.25,3.6,Bet365,CSV
16711,16740,1.6,3.6,6.5,Bet365,CSV
16712,16741,1.83,3.3,5.0,Bet365,CSV
16713,16742,2.3,3.1,3.4,Bet365,CSV
16714,16743,1.83,3.4,4.75,Bet365,CSV
16715,16744,1.91,3.3,4.2,Bet365,CSV
16716,16745,2.3,3.1,3.4,Bet365,CSV
16717,16746,2.25,3.25,3.3,Bet365,CSV
16718,16747,1.75,3.6,4.75,Bet365,CSV
16719,16748,2.25,3.2,3.4,Bet365,CSV
16720,16749,2.1,3.3,3.6,Bet365,CSV
16721,16750,2.6,3.1,2.9,Bet365,CSV
16722,16751,2.0,3.25,4.0,Bet365,CSV
16723,16752,3.4,3.3,2.2,Bet365,CSV
16724,16753,1.85,3.5,4.33,Bet365,CSV
