fixture_id,league_id,date_utc,calendar_year,side,is_home,shots_total,shots_on_goal,shots_inside_box,shots_outside_box,blocked_shots,corners,possession,pass_accuracy,xg
195614,4,2021-04-10 14:00:00,2021,away,false,9,2,6,3,1,5,52,73,0.8
202164,5,2025-02-22 20:00:00,2025,home,true,10,2,6,4,3,5,30,69,0.83
211040,7,2025-03-29 19:45:00,2025,home,true,17,4,9,8,2,6,45,79,1.32
225493,11,2017-04-07 18:30:00,2017,away,false,8,4,6,2,3,1,,,0.76
195256,4,2020-10-31 15:00:00,2020,home,true,23,5,14,9,7,9,,,1.93
272562,25,2019-12-07 16:00:00,2019,home,true,17,7,10,7,5,1,,,2.04
135602,60,2024-04-09 17:30:00,2024,home,true,7,1,6,1,3,5,23,52,0.73
153891,82,2022-01-15 19:00:00,2022,home,true,7,3,0,7,0,1,39,77,0.25
269067,23,2025-11-23 13:30:00,2025,home,true,17,4,13,4,7,5,59,83,1.64
380123,31,2026-03-20 11:35:00,2026,away,false,15,8,14,1,3,5,57,82,1.65
219392,9,2026-01-17 18:00:00,2026,away,false,15,6,13,2,4,7,57,85,1.57
55718,23,2023-10-08 15:00:00,2023,away,false,16,9,12,4,4,4,54,88,1.52
216303,9,2016-05-07 19:00:00,2016,away,false,4,1,1,3,0,2,,,0.22
284063,30,2022-04-17 16:00:00,2022,away,false,14,3,11,3,2,5,58,84,1.37
104170,64,2024-01-27 00:00:00,2024,away,false,7,4,5,2,2,2,27,68,0.65
588882,40,2026-05-23 17:00:00,2026,home,true,13,2,7,6,4,7,62,76,1.35
331945,64,2018-11-11 18:30:00,2018,away,false,13,8,5,8,2,1,,,0.86
200846,5,2020-11-22 15:15:00,2020,away,false,14,4,10,4,3,6,,,1.29
272312,25,2018-09-22 15:00:00,2018,away,false,7,2,6,1,1,1,,,0.73
377458,57,2026-07-02 23:00:00,2026,home,true,15,6,8,7,2,7,56,85,1.11
258856,20,2016-03-12 00:00:00,2016,away,false,10,2,7,3,2,3,,,0.91
147484,35,2023-12-21 13:00:00,2023,away,false,3,2,2,1,0,6,48,79,0.27
262969,21,2018-08-01 10:00:00,2018,away,false,9,3,5,4,4,2,,,0.72
236912,14,2017-01-20 20:30:00,2017,away,false,9,2,7,2,2,3,,,0.88
205095,6,2022-01-02 13:00:00,2022,away,false,10,1,8,2,6,3,55,79,0.99
200408,5,2019-09-01 19:00:00,2019,away,false,17,5,9,8,2,8,,,1.32
