fixture_player_id,fixture_id,player_id,cards_red,cards_yellow,dribbles_attempts,dribbles_past,dribbles_success,duels_total,duels_won,fouls_committed,fouls_drawn,games_captain,games_minutes,games_number,games_position,games_rating,games_substitute,goals_assists,goals_conceded,goals_saves,goals_total,offsides,passes_accuracy,passes_key,passes_total,penalty_commited,penalty_missed,penalty_saved,penalty_scored,penalty_won,shots_on,shots_total,tackles_blocks,tackles_interceptions,tackles_total
9534878,155889,147473,0,0,5.0,,5.0,9.0,7.0,,1.0,false,45.0,18.0,D,7,true,,0.0,,,,21,,27.0,,0,,0,,,,,,1.0
1986012,217593,59151,0,0,2.0,3.0,1.0,,,3.0,0.0,false,90.0,12.0,M,6.5,false,,0.0,,,,68%,0.0,13.0,,0,,0,,1.0,2.0,0.0,1.0,4.0
4922279,283583,82449,0,0,2.0,2.0,0.0,,,1.0,2.0,false,90.0,6.0,D,6.3,false,,0.0,,,,86%,0.0,75.0,,0,,0,,0.0,0.0,0.0,1.0,3.0
9705016,360304,63175,0,0,1.0,,0.0,6.0,4.0,0.0,0.0,false,90.0,23.0,D,7.1,false,,,,,,85%,1.0,40.0,,0,,0,,0.0,1.0,,2.0,
3014318,242918,70379,0,0,4.0,1.0,2.0,10.0,3.0,,,false,90.0,9.0,F,8.5,false,0.0,0.0,,2.0,,18,1.0,23.0,,0,,1,,3.0,4.0,,,1.0
4000984,264860,83818,0,0,1.0,,,3.0,1.0,1.0,,false,35.0,47.0,M,7.3,true,1.0,0.0,,,,4,2.0,5.0,,0,,0,,1.0,2.0,,,1.0
5177813,289303,100541,0,0,,,,,,,,false,,98.0,M,,true,,0.0,,,,,,,,0,,0,,,,,,
2281299,225226,43413,0,0,0.0,,0.0,6.0,3.0,0.0,3.0,false,50.0,6.0,M,6.6,false,,,,,,73%,1.0,11.0,,0,,0,,0.0,0.0,,1.0,
9387703,150234,69615,0,0,,,,,,,,false,,86.0,D,,true,,0.0,,,,,,,,0,,0,,,,,,
2233537,223899,62093,0,0,,2.0,,6.0,3.0,,1.0,false,89.0,7.0,M,7.7,false,0.0,0.0,,1.0,,26,1.0,32.0,,0,,0,,2.0,3.0,,,1.0
