id,name,api_football_id,fd_name,rating_mu,rating_sigma,in_csv,in_pq
5994,Iğdır FK,17259,,1546.9873976970953,6.024182930999076,true,false
5247,Sidmouth Town,26221,,1441.2116107459983,321.8039263751145,true,true
100010391,Shahin Bandar Anzali,10391,,1500.0,,false,false
4702,LPS Tozeur,10619,,1500.0,350.0,true,true
100011861,Ferencváros II,11861,,1500.0,,false,false
100004223,Sogdiana,4223,,1500.0,,false,false
527,Puebla,2291,Puebla,1552.3986640117366,2.7304207066150954,true,true
1281,Chornomorets,3615,,1506.2060906413526,8.9125856439759,true,true
31,Middlesbrough,70,Middlesbrough,1534.154450801018,2.4095836691146517,true,true
100007499,Arman Gohar,7499,,1500.0,,false,false
2831,Guatemala,5161,,1553.163398993041,201.9735867920037,true,true
4089,União Micaelense,22169,,1249.37917380251,350.0,true,true
100001425,Neftochimic Burgas,1425,,1500.0,,false,false
4994,Gornal Athletic,11981,,1500.0,350.0,true,true
100006278,Aragats,6278,,1500.0,,false,false
3569,Chantilly,3162,,1429.026064411635,271.1802425527715,true,true
100010109,Selangor II,10109,,1500.0,,false,false
100012452,Express,12452,,1500.0,,false,false
1694,AS Soliman,6253,,1546.9054352531534,6.7783780223387495,true,true
195,Lecco,6379,Lecco,1444.0408265298058,43.197618798533945,true,true
1758,HFX Wanderers FC,2621,,1529.564012005559,7.196582981285572,true,true
4258,Barendrecht,1271,,1830.2509945861136,306.0057565427729,true,true
100007096,Mokpo City,7096,,1500.0,,false,false
100003640,Comunicaciones II,3640,,1500.0,,false,false
4869,Japan U20,10290,,1482.9792590058478,317.08015795445584,true,true
5600,ASPTT Brest,3246,,1500.0,350.0,true,true
1524,Al-Ittihad Kalba,2876,,1474.4824422498273,7.897705847473132,true,true
6356,Fuerte San Francisco,22157,,1487.1827596890157,38.2540199767208,true,false
5224,Norwich CBS,8886,,1376.2650775379786,350.0,true,true
100017903,Hizbul Wathan,17903,,1500.0,,false,false
5440,ES Metz,13727,,1500.0,350.0,true,true
100024795,Samut Songkhram City,24795,,1500.0,,false,false
6190,Lokomotiv G. Oryahovitsa,1420,,1398.7270337827474,16.16831417818651,true,false
100005204,Lusaka Dynamos,5204,,1500.0,,false,false
3223,Sauzal,22573,,1303.8847878680563,350.0,true,true
3304,Rayo Majadahonda,861,,1480.959379727385,43.08203784559538,true,true
876,HJK,649,HJK,1540.4320933773438,3.2709204272814305,true,true
1595,Adelaide United,948,,1513.334789122132,3.4942831630925273,true,true
100002416,Szolnoki MAV FC,2416,,1500.0,,false,false
100018785,Aral,18785,,1500.0,,false,false
2090,Great Wakering Rovers,7229,,1067.6403356669107,305.44563783628956,true,true
4372,Chivas USA,13173,Chivas USA,1530.3675846572037,30.612923178415514,true,true
5205,Stapenhill,12076,,1500.0,350.0,true,true
100007769,Caldense,7769,,1500.0,,false,false
100016719,Karsklus,16719,,1500.0,,false,false
100015617,Fluminense PI,15617,,1500.0,,false,false
100018887,Central Valley Fuego II,18887,,1500.0,,false,false
6039,Khon Kaen United,10086,,1306.5260018667607,98.70544592530807,true,false
2510,Bristol Manor Farm,7621,,1359.3846209269343,321.6658955711844,true,true
100004575,Shabab Al Ghazieh,4575,,1500.0,,false,false
5649,Rungis,3222,,1235.4682442929861,350.0,true,true
100001213,Sinop FC,1213,,1500.0,,false,false
4946,Grenada U20,10999,,1289.1560873501007,322.6154643621605,true,true
669,Korona Kielce,346,Korona Kielce,1461.4268332039228,1.770690063333561,true,true
428,Nautico,,Nautico,1488.0914968367213,58.73744948761653,true,true
100011365,Caroní,11365,,1500.0,,false,false
1720,San Antonio,4017,,1539.6342665132836,3.4181873152888835,true,true
5921,Lorca,,Lorca,1437.875440604598,215.12896729671616,true,false
100020177,Olimpija Dolga vas,20177,,1500.0,,false,false
3136,UD San Pedro,17562,,1235.9636369827124,350.0,true,true
100016690,Toledo Villa,16690,,1500.0,,false,false
100003652,Sololá,3652,,1500.0,,false,false
100009183,FC Espoo,9183,,1500.0,,false,false
6118,Radnički Sr. Mitrovica,12338,,1435.7395846929658,14.165022305342006,true,false
100003539,Al Tadhamon,3539,,1500.0,,false,false
100004073,Portland Phoenix,4073,,1500.0,,false,false
100021117,Santiago City,21117,,1500.0,,false,false
2834,Dominica,5531,,879.0738146226238,350.0,true,true
100020067,Muang Trang United,20067,,1500.0,,false,false
2908,Algeria U20,11017,,1718.0975090991744,306.21797745148115,true,true
100022784,Young Red Bull,22784,,1500.0,,false,false
3873,Esquelbecq,18134,,1230.3967188007564,350.0,true,true
5235,Abbey Hulton,26209,,1772.010744635794,292.3670316415908,true,true
1135,Alianza Universidad,2548,,1497.7908445149633,5.509556628854179,true,true
100002308,Celaya,2308,,1500.0,,false,false
4453,Vasby United,765,,1548.9820208172555,69.5112909067557,true,true
919,Cobh Ramblers,3849,Cobh Ramblers,1525.222616096052,4.125521717139147,true,true
1779,Lobos Upnfm,1059,,1571.1873202448653,3.144327529574314,true,true
3827,Marcoussis Nozay,20602,,1398.9315739387655,350.0,true,true
1520,Busan I Park,2752,,1509.9154853722368,8.85899092900849,true,true
100023148,Shanghai Tongji,23148,,1500.0,,false,false
1535,Al Nasr,10155,,1487.4634995195358,7.58532341796388,true,true
100002571,Sport Loreto,2571,,1500.0,,false,false
5392,Moulins,13614,,1500.0,350.0,true,true
100020929,Marski,20929,,1500.0,,false,false
1249,Sereď,3551,,1495.8536937335334,24.536154746200715,true,true
2850,Anguilla,8150,,482.18993994712974,337.9987746530713,true,true
1065,Union Espanola,2321,,1493.8853134364404,3.4233315724256075,true,true
100004452,Hoi King,4452,,1500.0,,false,false
100001920,Sevilla W,1920,,1500.0,,false,false
1315,TSC Backa Topola,2646,,1468.7699131339584,3.575706675145799,true,true
5960,Annan Athletic,6757,Annan Athletic,1446.8827798924287,2.4419166989426353,true,false
5367,PRO Piacenza,892,,1103.8715833940923,350.0,true,true
100012278,Duque de Caxias,12278,,1500.0,,false,false
4699,Olympique du Kef,13357,,1500.0,350.0,true,true
1443,Oostende,624,Oostende,1532.544161610003,5.903481298254199,true,true
