fixture_id,home_win,draw,away_win,bookmaker,source,in_csv,in_pq,known_at
196862,2.15,3.55,3.43,Pinnacle,API-Football-closing,true,true,2024-08-31 14:00:00
18218,5.16,3.88,1.73,Pinnacle,API-Football-closing,true,true,2024-05-12 19:00:00
551544,2.55,3.38,2.91,Pinnacle,API-Football-closing,true,false,2019-03-15 00:00:00
588648,3.9,3.75,1.66,Bet365,API-Football-closing,true,false,2026-03-02 00:00:00
82198,4.32,3.87,1.79,Pinnacle,API-Football-closing,true,false,2019-07-01 00:00:00
39874,2.28,3.41,3.42,Pinnacle,API-Football-closing,true,false,2017-05-21 00:00:00
235431,4.82,4.66,1.63,Pinnacle,API-Football-closing,true,true,2025-04-24 19:00:00
581328,2.71,3.75,2.57,Pinnacle,API-Football-closing,true,false,2018-04-29 00:00:00
249726,1.11,10.4,28.0,Pinnacle,API-Football-closing,true,true,2023-04-01 14:00:00
257025,1.75,3.54,4.99,Pinnacle,The-Odds-API,true,true,2024-11-10 00:00:00
2263,2.63,3.4,2.83,Pinnacle,API-Football-closing,true,true,2024-02-10 15:00:00
65959,3.35,3.28,2.37,Pinnacle,API-Football-closing,true,false,2016-12-12 00:00:00
270319,2.34,3.39,3.27,Pinnacle,API-Football-closing,true,false,2021-08-22 17:00:00
562865,2.26,3.23,3.56,Pinnacle,API-Football-closing,true,false,2024-04-28 00:00:00
16347,2.01,3.35,4.19,Pinnacle,API-Football-closing,true,true,2024-04-12 18:30:00
594875,2.0,3.33,4.18,Pinnacle,API-Football-closing,true,false,2019-03-02 00:00:00
242121,1.7,3.8,4.5,Bet365,CSV,false,true,2021-11-06 19:45:00
231098,2.83,3.18,2.78,Pinnacle,API-Football-closing,true,true,2022-10-30 12:30:00
259979,1.91,3.59,4.33,Pinnacle,API-Football-closing,true,false,2018-11-01 01:30:00
21737,2.93,3.63,2.43,Pinnacle,API-Football-closing,true,true,2024-05-05 15:30:00
218911,1.34,5.71,9.15,Pinnacle,API-Football-closing,true,true,2024-02-25 16:05:00
161395,3.63,3.27,2.24,Pinnacle,The-Odds-API,true,true,2021-03-20 12:15:00
214016,1.66,3.74,6.2,Pinnacle,API-Football-closing,true,true,2023-02-12 15:15:00
251565,1.93,3.68,4.02,Pinnacle,API-Football-closing,true,false,2020-02-25 19:45:00
533594,1.82,3.93,4.42,Pinnacle,API-Football-closing,true,false,2022-04-02 00:00:00
291645,3.19,3.58,2.27,Pinnacle,API-Football-closing,true,true,2024-08-25 15:30:00
270006,3.44,3.14,2.29,Pinnacle,API-Football-closing,true,false,2020-07-04 17:30:00
223682,1.89,3.34,4.67,Pinnacle,API-Football-closing,true,true,2025-01-18 13:00:00
238462,2.37,3.1,3.1,Bet365,CSV,false,true,2022-01-22 15:30:00
145676,2.92,3.44,2.46,Pinnacle,API-Football-closing,true,false,2020-02-29 20:00:00
556556,1.43,4.63,9.03,Pinnacle,API-Football-closing,true,false,2015-10-04 00:00:00
560651,1.65,3.81,6.02,Pinnacle,API-Football-closing,true,false,2021-06-28 00:00:00
525986,2.54,3.28,2.97,Pinnacle,API-Football-closing,true,false,2020-06-24 00:00:00
138209,1.5,4.27,7.67,Pinnacle,API-Football-closing,true,false,2022-01-09 01:06:00
259340,2.4,3.55,3.06,Pinnacle,API-Football-closing,true,false,2017-05-28 00:00:00
245826,2.98,3.25,2.57,Pinnacle,API-Football-closing,true,true,2021-01-25 13:00:00
558064,3.52,3.25,2.31,Pinnacle,API-Football-closing,true,false,2017-10-18 00:00:00
209911,3.6,3.8,1.95,Bet365,CSV,false,true,2021-04-22 16:30:00
544378,2.25,3.31,3.47,Pinnacle,API-Football-closing,true,false,2016-05-14 00:00:00
550235,5.69,4.24,1.63,Pinnacle,API-Football-closing,true,false,2015-09-05 00:00:00
262979,1.57,4.33,5.97,Pinnacle,API-Football-closing,true,false,2018-08-05 10:00:00
74778,1.67,4.28,5.32,Pinnacle,API-Football-closing,true,false,2012-08-18 00:00:00
536726,2.31,3.41,3.33,Pinnacle,API-Football-closing,true,false,2014-11-02 00:00:00
32147,2.04,3.74,3.48,Pinnacle,API-Football-closing,true,true,2022-12-23 00:00:00
183987,1.22,7.06,13.2,Pinnacle,API-Football-closing,true,false,2020-03-07 12:30:00
582359,2.02,3.79,3.65,Pinnacle,API-Football-closing,true,false,2019-06-23 00:00:00
200408,3.6,4.0,1.9,Bet365,CSV,false,true,2019-09-01 19:00:00
574472,1.11,10.24,22.63,Pinnacle,API-Football-closing,true,false,2019-08-15 00:00:00
18042,1.74,3.84,5.14,Pinnacle,API-Football-closing,true,true,2023-12-01 20:00:00
94133,2.45,2.83,3.68,Pinnacle,The-Odds-API,true,true,2022-08-10 00:30:00
253292,2.4,3.39,3.2,Pinnacle,API-Football-closing,true,false,2014-08-20 22:30:00
57264,2.2,3.02,4.12,Pinnacle,API-Football-closing,true,false,2016-08-26 00:00:00
194627,3.3,3.52,2.25,Pinnacle,API-Football-closing,true,false,2019-04-06 14:00:00
238809,9.42,4.98,1.38,Pinnacle,API-Football-closing,true,true,2023-03-04 20:30:00
553742,2.59,3.2,2.95,Pinnacle,API-Football-closing,true,false,2025-07-04 00:00:00
586695,1.46,4.7,7.14,Pinnacle,API-Football-closing,true,false,2024-04-28 00:00:00
227392,2.63,3.4,2.7,Bet365,CSV,false,true,2023-09-16 13:30:00
227873,1.13,11.0,19.0,Pinnacle,API-Football-closing,true,true,2026-01-11 16:30:00
588128,1.87,4.08,3.91,Pinnacle,API-Football-closing,true,false,2025-07-13 00:00:00
195170,2.0,3.3,4.0,Bet365,CSV,false,true,2020-09-26 14:00:00
190501,1.95,3.47,4.29,Pinnacle,API-Football-closing,true,true,2024-12-10 19:45:00
24051,2.36,3.76,2.97,Pinnacle,API-Football-closing,true,true,2021-01-24 00:00:00
195127,3.13,3.06,2.54,Pinnacle,API-Football-closing,true,false,2020-03-07 15:00:00
246664,1.5,4.33,5.75,Bet365,CSV,false,true,2023-04-01 13:00:00
190137,2.09,3.37,3.94,Pinnacle,API-Football-closing,true,true,2023-03-10 20:00:00
