fixture_id,home_shots_total,away_shots_total,home_shots_on_goal,away_shots_on_goal,home_shots_inside_box,away_shots_inside_box,home_shots_outside_box,away_shots_outside_box,home_blocked_shots,away_blocked_shots,home_penalties,away_penalties,home_corners,away_corners,home_yellow_cards,away_yellow_cards,home_red_cards,away_red_cards,home_xg,away_xg,home_possession,away_possession,home_fouls,away_fouls,home_offsides,away_offsides,home_pass_accuracy,away_pass_accuracy,home_goals_ht,away_goals_ht,home_xg_ht,away_xg_ht,stats_fetched_at,in_csv,in_pq,xg_covered,xg_nulled,known_at
176707,10,9,6,3,,,,,,,,,8,4,0,4,0,0,,,,,5,16,,,,,0,1,,,,true,false,false,,2016-09-17 15:45:00
344741,11,13,3,2,10,7,1,6,3,10,0,0,8,3,1,0,0,0,1.19,1.02,49,51,13,9,4,0,86,87,0,0,,,,true,true,true,false,2025-09-19 19:45:00
7712,23,14,6,7,20,9,3,5,5,2,1,0,6,5,2,1,0,0,3.05,1.21,51,49,13,11,2,2,80,77,1,2,,,,true,true,true,false,2024-03-16 16:45:00
149695,10,10,4,4,7,9,3,1,4,2,0,0,7,2,3,2,0,2,,,56,44,16,13,2,0,80,76,0,1,,,,true,true,false,true,2025-03-06 21:45:00
349771,4,19,1,8,1,14,3,5,1,4,0,0,1,5,3,2,0,0,0.22,1.79,,,,,,,,,0,1,,,,true,true,true,false,2019-06-23 20:45:00
277915,14,14,4,4,8,6,6,8,4,3,0,0,3,5,3,3,0,0,1.13,0.97,,,,,,,,,0,0,,,,true,true,true,false,2017-03-19 19:45:00
108619,0,0,0,0,0,0,0,0,0,0,0,0,5,3,2,4,0,0,,,,,0,0,0,0,,,0,0,,,2026-03-10 12:03:24.74649,true,true,false,true,2021-10-24 17:45:00
194020,11,15,3,6,7,9,4,6,3,6,0,0,5,3,0,3,0,0,0.95,1.25,62,38,12,4,3,1,78,71,0,0,,,,true,true,true,false,2025-11-04 21:30:00
366367,6,11,3,7,5,8,1,3,0,2,0,0,7,5,2,3,0,0,,,35,65,15,7,3,1,81,89,0,1,,,,true,true,false,true,2025-12-16 21:45:00
201269,11,21,3,10,6,17,5,4,4,4,0,0,8,6,1,1,1,0,0.87,2.1,32,68,10,7,2,3,79,91,1,2,,,2026-03-10 12:01:23.479441,true,true,true,false,2021-11-21 17:00:00
617338,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,true,false,true,,2024-04-07 14:45:00
223777,12,6,5,1,8,5,4,1,3,3,0,0,5,4,1,2,0,0,1.06,0.61,64,36,12,19,1,1,88,75,0,0,,,,true,true,true,false,2025-04-11 19:45:00
96041,12,23,5,4,6,14,6,9,2,5,0,0,5,6,4,1,0,0,0.9,1.93,43,57,16,4,0,2,59,74,0,0,,,2026-03-10 11:47:30.357238,true,true,true,false,2022-07-20 21:15:00
212498,6,9,2,4,0,0,0,0,0,0,0,0,9,6,2,2,0,0,,,,,,,,,,,0,0,,,,true,true,false,true,2019-02-08 21:45:00
601564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,1,,,,true,false,true,,2025-11-15 16:45:00
212455,8,10,4,4,0,0,0,0,0,0,0,0,11,4,0,0,0,0,,,,,,,,,,,0,0,,,,true,true,false,true,2018-12-27 19:45:00
114482,4,6,4,2,0,0,0,0,0,0,0,1,5,3,1,3,1,0,,,49,51,17,11,1,2,,,0,0,,,,true,true,false,true,2022-11-27 12:45:00
278819,13,10,3,0,8,6,5,4,3,4,0,0,6,5,4,4,0,1,1.09,0.83,,,,,,,,,1,0,,,,true,true,true,false,2019-03-31 15:45:00
163010,13,9,0,2,6,6,7,3,8,3,0,0,2,2,3,2,0,0,0.94,0.8,66,34,13,9,0,3,87,75,0,1,,,,true,true,true,false,2024-05-15 20:45:00
253658,16,6,6,3,0,0,0,0,0,0,0,0,6,3,1,3,0,0,,,,,,,,,,,,,,,,false,true,false,true,2015-07-19 23:15:00
