id,api_football_id,name,firstname,lastname,age,nationality,height,weight,photo,in_csv,in_pq
81736,103284,J. McMaster,,,,,,,https://media.api-sports.io/football/players/103284.png,true,true
171990,191005,Henrique Tavares,,,,,,,,true,true
195520,253859,I. Chinaecherem,,,,,,,,true,true
50271,418944,Marcos Peña,,,,,,,https://media.api-sports.io/football/players/418944.png,true,true
114981,42338,Mubarak Badi Al-Breik,,,,,,,,true,true
178542,440932,S. Alfred,,,,,,,,true,true
166691,201922,G. Tarakhchyan,,,,,,,https://media.api-sports.io/football/players/201922.png,true,true
84119,54894,Jajá,,,,,,,https://media.api-sports.io/football/players/54894.png,true,true
72244,115959,D. Kamara,,,,,,,,true,true
90280,363786,Lukas Schweighofer,,,,,,,https://media.api-sports.io/football/players/363786.png,true,true
139156,559787,A. Nunez,,,,,,,,true,true
208925,398788,W. Brouillard,,,,,,,,true,true
100032,64377,R. Sumanariu,,,,,,,,true,true
212399,629867,Yohan Nandkissori,,,,,,,https://media.api-sports.io/football/players/629867.png,true,true
190470,400021,Hugo Riccobene,,,,,,,,true,true
168675,369740,Levon Williams,,,,,,,https://media.api-sports.io/football/players/369740.png,true,true
156678,224482,D. López,,,,,,,,true,true
104440,105947,T. Kahila,,,,,,,,true,true
