key,name,category_key,category_name,max_events,times_seen,sources
soccer-brazil-mineiro-modulo-ii,"Mineiro, Modulo II",brazil,Brazil,6,2,feed
soccer-brazil-serie-a,Serie A,brazil,Brazil,0,0,probe
soccer-brazil-ta742-u20-brasileiro-serie-b,U20 Brasileiro Serie B,brazil,Brazil,2,2,feed
soccer-brazil-u20-campeonato-brasileiro,U20 Campeonato Brasileiro,brazil,Brazil,13,2,feed
soccer-brazil-t8dec-u20-carioca-serie-a,"U20 Carioca, Serie A",brazil,Brazil,10,2,feed
soccer-brazil-t8160-u20-paraibano,U20 Paraibano,brazil,Brazil,1,2,feed
soccer-bulgaria-first-professional-league,Parva Liga,bulgaria,Bulgaria,7,2,feed
soccer-bulgaria-super-cup,Super Cup,bulgaria,Bulgaria,0,0,probe
soccer-burundi-cup,Cup,burundi,Burundi,0,0,probe
soccer-burundi-premier-league,Premier League,burundi,Burundi,0,0,probe
soccer-burundi-super-cup,Super Cup,burundi,Burundi,0,0,probe
soccer-cameroon-elite-one,Elite One,cameroon,Cameroon,0,0,probe
soccer-canada-canadian-premier-league,Canadian Premier League,canada,Canada,6,2,feed
soccer-chile-copa-chile,Copa Chile,chile,Chile,7,2,feed
soccer-chile-primera-division,Primera Division,chile,Chile,1,2,"feed,probe"
soccer-chile-segunda-division,Segunda Division,chile,Chile,0,0,probe
soccer-chile-super-cup,Supercup,chile,Chile,0,0,probe
soccer-china-tbf00-china-u20-league,China U20 League,china,China,1,2,feed
soccer-china-chinese-super-league,Chinese Super League,china,China,8,2,feed
